ID,Título,Área,Estado,Fecha de aceptación
899,Connection between feedback processes and the effective yields of EAGLE galaxies,AEC - Astronomía Extra...,Aceptado,27 may 2024
900,Modeling the chemistry of early universe,AEC - Astronomía Extra...,Aceptado,10 may 2024
901,Distribución de masas de algunos sistemas exoplanetarios,SSE - Sistema Solar y ...,Aceptado,18 may 2024
902,Curvas de luz de supernovas con el telescopio HSH,AE - Astrofísica Estelar,Aceptado,24 may 2024
903,Estudio espectroscópico de cúmulos estelares pertenecientes a la Nube Mayor de Magallanes - \Parámetros astrofísicos,SE - Sistemas Estelares,Aceptado,07 jul 2024
904,Proyecto HK$alpha$: 24 años y 400 noches.,AE - Astrofísica Estelar,Aceptado,27 may 2024
905,Espectroscopía integrada de candidatos a cúmulos globulares ubicados hacia el centro de la Via Láctea,SE - Sistemas Estelares,Aceptado,21 June 2024
906,Determinación de parámetros astrofísicos\ de cúmulos abiertos a partir de fotometría de GAIA,SE - Sistemas Estelares,Aceptado,21 June 2024
907,Determinación de tasas de acreción en enanas blancas DA con discos {em debris},AE - Astrofísica Estelar,Aceptado,16 may 2024
908,Cosmic rays at the epoch of reionization,AEC - Astronomía Extra...,Aceptado,03 jun 2024
909,Ultra Diffuse Galaxy formation constraints and possible detection in S-PLUS images,AEC - Astronomía Extra...,Aceptado,21 may 2024
910,Caracterización de imágenes obtenidas desde la Estación Astrofísica de Bosque Alegre,ICSA - Instrumentación...,Aceptado,01 jun 2024
911,Spatial orientation of planetary nebulae in the Milky Way,EG - Estructura Galáctica,Aceptado,15 may 2024
912,On the morphology of open clusters probed by ASteCA using Gaia data,AE - Astrofísica Estelar,Aceptado,21 may 2024
913,Exploring the halo occupation distribution\ in nodes and filaments,AEC - Astronomía Extra...,Aceptado,23 abr 2024
915,Supernovas asociadas a explosiones de radiación gamma,AE - Astrofísica Estelar,Aceptado,11 abr 2024
916,K2-138 and the capture in 1st-order 3P-MMRs,SSE - Sistema Solar y ...,Aceptado,29 may 2024
917,Rendimiento de métodos semi-automáticos de búsqueda de \ cúmulos estelares,SE - Sistemas Estelares,Aceptado,29 may 2024
918,"Parámetros fundamentales de cúmulos estelares poco estudiados de la Nube Mayor de Magallanes derivados apartir de sus espectros integrados",SE - Sistemas Estelares,Aceptado,02 ago 2024
920,Observaciones fotométricas ópticas de candidatas a galaxias en el survey VVV,AEC - Astronomía Extra...,Aceptado,10 may 2024
921,Multimodal analysis of astrophysical data,ASOC - Astronomía y So...,Aceptado,20 April 2024
922,Primeros resultados del estudio observacional de estrellas masivas y centrales en cúmulos abiertos,AE - Astrofísica Estelar,Aceptado,24 may 2024
923,Emisiones de radio kilométricas de tipo II: lista completa de eventos observados en TNR,SH - Sol y Heliosfera,Aceptado,13 may 2024
