type;ID;contrib;Npages;title;filename;generated;citations;name_000;surname_000;name_001;surname_001;name_002;surname_002;name_003;surname_003;name_004;surname_004;name_005;surname_005;name_006;surname_006;name_007;surname_007;name_008;surname_008;name_009;surname_009;name_010;surname_010;name_011;surname_011;name_012;surname_012;name_013;surname_013;name_014;surname_014;name_015;surname_015;name_016;surname_016;name_017;surname_017;name_018;surname_018;name_019;surname_019;name_020;surname_020
paper;915;R;4;Supernovas asociadas a explosiones de radiaci\'on gamma;915/915.tex;LaTeX;;L.M.;Rom\'an Aguilar;M.M.;Saez;;;M.C.;Bersten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;916;R;4;K2-138 and the capture in 1st-order 3P-MMRs;916/916.tex;LaTeX;;M.;Cerioni;C.;Beaug\'e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;917;R;4;Rendimiento de m\'etodos semi-autom\'aticos de b\'usqueda de c\'umulos estelares;917/917.tex;LaTeX;;M.;Chiarpotti;A.E.;Piatti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;918;R;4;Par\'ametros fundamentales de c\'umulos estelares poco estudiados de la Nube Mayor de Magallanes derivados a partir de sus espectros integrados;918/918.tex;LaTeX;;C.M.;Rodr{\'\i}guez-Buss;M.I.;Tapia-Reina;A.V.;Ahumada;L.R.;Vega-Neme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;920;R;4;Observaciones fotom\'etricas \'opticas de candidatas a galaxias en el survey VVV;920/920.tex;LaTeX;;F.;Zarate;F.;Duplancic;E.;Gerville-Reache;D.;Galdeano;F.;Podest\'a;E.;Gonzalez;J.F.;Gonz\'alez;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;921;R;4;Multimodal analysis of astrophysical data;921/921.tex;LaTeX;;J.;Casado;B.;Garc\'{i}a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;922;R;4;Primeros resultados del estudio observacional de estrellas masivas y centrales en c\'umulos abiertos;922/922.tex;LaTeX;;A.D.;Alejo;J.F.;Gonz\'alez;S.P.;Gonz\'alez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;923;R;3;Emisiones de radio kilom\'etricas de tipo II: lista completa de eventos observados en TNR;923/923.tex;LaTeX;;F.;Manini;H.;Cremades;M.;C\'ecere;F.M.;L\'opez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;924;R;4;Estudio de la din\'amica de sistemas binarios de c\'umulos abiertos con LP-VIsuite: el c\'umulo doble de Perseo;924/924.tex;LaTeX;;A.;Granada;F.;Zoppetti;N.P.;Maffione;M.;Orellana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;925;R;4;S-PLUS: An atlas of integrated H$\alpha$ + [N {\sc ii}] fluxes for planetary nebulae in the Magellanic Clouds;925/925.tex;LaTeX;;L.A.;Guti\'errez-Soto;A.R.;Lopes;A.V.;Smith Castelli;R.;Faifer;R.;Haack;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;927;R;4;Estudio de los tiempos de disipaci\'on de discos gaseosos en poblaciones estelares;927/927.tex;LaTeX;;J.L.;Gomez;O.M.;Guilera;M.M.;Miller Bertolami;M.P.;Ronco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;928;R;3;The globular cluster system of nearby spirals through multi-band surveys: Improving the photometric catalogue;928/928.tex;LaTeX;;J.P.;Caso;A.I.;Ennis;A.L.;Chies-Santos;B.J.;De B\'ortoli;R.S.;de Souza;M.;Canossa;P.;Floriano;E.;Godoy;P.;Lopes;N.L.;Miranda;C.;Bonato;;;;;;;;;;;;;;;;;;;;
paper;929;R;4;Comparison of N-body simulations with Gaia DR3 data from OB associations;929/929.tex;LaTeX;;M.;Bascu\~n\'an;S.;Ortega;S.;Villanova;P.;Assmann;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;931;R;4;Bayesian characterization of the young open cluster NGC 6383 using HDBSCAN and Gaia DR3;931/931.tex;LaTeX;;L.M.;Pulgar-Escobar;N.A.;Henr{\'\i}quez-Salgado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;932;R;4;Insights into the formation of OB associations: an examination of key parameters;932/932.tex;LaTeX;;S.;Ortega;M.;Bascu\~n\'an;S.;Villanova;P.;Assmann;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;933;R;4;Evolution of dynamically identified stellar components;933/933.tex;LaTeX;;N.M.;Isa;H.P.;Salda\~no;V.A.;Cristiani;M.;Abadi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
