type;ID;contrib;Npages;title;filename;generated;citations;name_000;surname_000;name_001;surname_001;name_002;surname_002;name_003;surname_003;name_004;surname_004;name_005;surname_005;name_006;surname_006;name_007;surname_007;name_008;surname_008;name_009;surname_009;name_010;surname_010;name_011;surname_011
paper;2238;R;1;Propiedades astrof{\'\i}sicas de c\'umulos estelares ubicados en la perif\'eria de la Nube Menor de Magallanes;2238.tex;LaTeX;;D.M.;Illesca;A.E.;Piatti;;;;;;;;;;;;;;;;;;;;
paper;2241;R;1;Proposal for a Lunar Antenna for Radio Astronomy (LARA);2241.tex;LaTeX;;G.;Gancio;G.E.;Romero;H.;Command;E.;Fliger;F.;Hauscarriaga;M.;Salibe;P.;Benaglia;L.;Garcia;;;;;;;;
paper;2193;R;1;Reacciones congeladas fuera del equilibrio y nueva rama de estabilidad extendida para estrellas de neutrones;2193.tex;LaTeX;;M.O.;Canullan-Pascual;;;;;;;;;;;;;;;;;;;;;;
paper;2107;R;1;Reconstruyendo la historia evolutiva de galaxias de disco a partir del estudio sus c\'umulos globulares;2107.tex;LaTeX;;B.J.;De B\'ortoli;J.P.;Caso;L.P.;Bassino;;;;;;;;;;;;;;;;;;
paper;2137;R;1;Relaci\'on masa - radio para enanas blancas provenientes de la evoluci\'on binaria;2137.tex;LaTeX;;H.R.;Pereiras;M.A.;De Vito;O.G.;Benvenuto;;;;;;;;;;;;;;;;;;
paper;2277;R;1;Resultado del procesamiento de sesiones VLBI en el IGN y la participaci\'on de AGGO en ellas.;2277.tex;LaTeX;;F.N.;Barrera;M. E.;Gomez;M.A.;Carbonetti;S.R.;Cimbaro;;;;;;;;;;;;;;;;
paper;2124;R;1;Search for radio halos in edge-on starburst galaxies;2124.tex;LaTeX;;C.A.;Galante;J.;Saponara;G.E.;Romero;P.;Benaglia;;;;;;;;;;;;;;;;
paper;2295;R;1;Search of transient radio activity from southern magnetars;2295.tex;LaTeX;;S.B.;Araujo Furlan;E.;Zubieta;G.;Gancio;G.E.;Romero;S.;del Palacio;F.;Garcia;C. O.;Lousto;J. A.;Combi%;;Colaboraci\'on PuMA;;;;;;
paper;2182;R;1;Simulaciones de Superc\'ascaras de HI: Formaci\'on y Evoluci\'on;2182.tex;LaTeX;;M.A.;Villagran;L.;Suad;P.F.;Vel\'azquez;S.;Cichowolski;;;;;;;;;;;;;;;;
paper;2166;R;1;S{\'\i}ntesis poblacional de discos protoplanetarios: Comparaci\'on de modelos de disco y observaciones;2166.tex;LaTeX;;J.L.;Gomez;O.M.;Guilera;M.M.;Miller Bertolami;M.P.;Ronco;;;;;;;;;;;;;;;;
paper;2165;R;1;S{\'\i}ntesis poblacional de discos protoplanetarios: Comparaci\'on de modelos de disco y observaciones;2165.tex;LaTeX;;J.L.;Gomez;O.M.;Guilera;M.M.;Miller Bertolami;M.P.;Ronco;;;;;;;;;;;;;;;;
paper;2191;R;1;SN 2023ixf: progenitor y asimetr{\'\i}as a partir de la emisi\'on tard{\'\i}a;2191.tex;LaTeX;;L.;Ferrari;G.;Folatelli;K.;Ertini;;;;;;;;;;;;;;;;;;
paper;2111;R;1;\textit{Spikes} de Materia Oscura alrededor de Agujeros Negros supermasivos y sus consecuencias din\'amicas;2111.tex;LaTeX;;V.;Crespi;C.R.;"Arg\""uelles";J.A.;Rueda;;;;;;;;;;;;;;;;;;
paper;2251;R;1;Tensiones en cosmolog\'ia: una discusi\'on sobre herramientas estad\'isticas para determinar inconsistencias;2251.tex;LaTeX;;M.;Leizerovich;S.J.;Landau;C.G.;Sc\'occola;;;;;;;;;;;;;;;;;;
paper;2206;R;1;TESS asteroseismology of the GW Vir-type central star of the Planetary Nebula NGC 246;2206.tex;LaTeX;;L.M.;Calcaferro;P.;Sowicka;M.;Uzundag;A.H.;C\'orsico;S.O.;Kepler;K.J.;Bell;L.G.;Althaus;G.;Handler;S.D.;Kawaler;;;K.;Werner;;
paper;2120;R;1;Testing an Alternative Cosmological Model with Observational Data;2120.tex;LaTeX;;F.;Plaza;L.;Kraiselburd;;;;;;;;;;;;;;;;;;;;
paper;2173;R;1;Thermal and non-thermal radiation from isolated stellar-mass black holes;2173.tex;LaTeX;;J.R.;Martinez;V.;Bosch-Ramon;F.L.;Vieyro;S.;del Palacio;;;;;;;;;;;;;;;;
paper;2079;R;1;TOI-2374\,b and TOI-3071\,b: two metal-rich sub-Saturns well within the Neptunian desert;2079.tex;LaTeX;;A.;~Hacker;R.~F.;~D{\'\i}az;D.~J.;~Armstrong;J.;~Fern\'andez~Fern\'andez;S.;"~M\""uller";E.;~Delgado-Mena;S.~G.;~Sousa;V.;~Adibekyan;K.~G.;~Stassun;K.~A.;~Collins;S.~W.;~Yee;;
